a.m.	[ˌeɪ ˈem] abbr. 上午，午前; 
decrease	[dɪˈkri:s, dɪˈkris] n. 减少，减小;减少量 vi.&vt. 减少，减小 
dedicate	[ˈdedɪkeɪt, ˈdɛdɪˌket] vt. 奉献，献身 
deduce	[dɪˈdju:s, dɪˈdu:s] vt. 演绎 
deed	[di:d, did] n. 行为;行动 v. 立契转让 
deem	[dim, di:m] vt. 认为，视为;主张，断定 vi. 认为，视为，以为;作某种评价 
deep	[di:p, dip] adj. 深的 n. 深处，深渊 adv. 深深地，深入地 
deer	[dɪr, dɪə(r)] n. 鹿 
defeat	[dɪˈfi:t, dɪˈfit] vt. 挫败;击败，战胜 n. 失败;战胜 
defect	[ˈdiˌfɛkt, dɪˈfɛkt, ˈdi:fekt] n. 瑕疵，毛病;欠缺，缺点 vi. 叛逃;背叛 
defend	[dɪˈfend, dɪˈfɛnd] vt.&vi. 保卫 
defense	[dɪ'fens, dɪˈfɛns] n. (D-)（美国）国防部，防卫，防卫物 vt. 谋划抵御 
deficit	[ˈdɛfɪsɪt, ˈdefɪsɪt] n. 赤字 
definite	[ˈdɛfənɪt, ˈdefɪnət] adj. 明确的 
degree	[dɪˈɡri, dɪˈgri:] n. 程度 
delay	[dɪˈleɪ, dɪˈle] n. 耽搁 vt. 耽搁 vi. 延缓，延期 
delegation	[ˌdelɪˈgeɪʃn, ˌdɛlɪˈɡeʃən] n. 授权 
delicious	[dɪˈlɪʃəs] adj. 美味的，可口的 
delight	[dɪˈlaɪt] n. 快乐，高兴 vt. 使高兴，使欣喜 vi. 感到高兴[快乐] 
deliver	[dɪˈlɪvə(r), dɪˈlɪvɚ] vt. 交付;发表 vi. 传送;投递 
demand	[dɪˈmænd, dɪˈmɑ:nd] vt. 需要 n. 需求 vi. 需要 
democracy	[dɪˈmɒkrəsi, dɪˈmɑ:krəsi] n. 民主政治 
democratic	[ˌdɛməˈkrætɪk, ˌdeməˈkrætɪk] adj. 民主的 
demonstrate	[ˈdɛmənˌstret, ˈdemənstreɪt] vt. 论证;证明，证实 vi. 示威游行 
denial	[dɪˈnaɪəl] n. 克制 
dense	[dens, dɛns] adj. 密集的，稠密的 
density	[ˈdensəti, ˈdɛnsɪti] n. 密度 
dentist	[ˈdɛntɪst, ˈdentɪst] n. 牙科医生 
deny	[dɪˈnaɪ] vt. 拒绝 
depart	[dɪˈpɑ:t, dɪˈpɑ:rt] v. 离开，出发 
department	[dɪˈpɑ:rtmənt, dɪˈpɑ:tmənt] n. 部门，部 
departure	[dɪˈpɑ:tʃə(r), dɪˈpɑ:rtʃə(r)] n. 背离 
depend	[dɪˈpɛnd, dɪˈpend] vi. 依赖 
deposit	[dɪˈpɒzɪt, dɪˈpɑ:zɪt] n. 保证金 vt.&vi. 储蓄 vi. 沉淀 
depth	[dɛpθ, depθ] n. 深度 
deputy	[ˈdɛpjəti, ˈdepjuti] n. 代表;副手 adj. 副的;代理的 
derive	[dɪˈraɪv] vt.&vi. 得到，导出 
descend	[dɪˈsɛnd, dɪˈsend] v. 降临 
describe	[dɪˈskraɪb] vt. 叙述 
description	[dɪˈskrɪpʃn, dɪˈskrɪpʃən] n. 描述 
desert	[ˈdezət, ˈdezərt] n. 沙漠;荒地 adj. 沙漠的;荒芜的，不毛的 
deserve	[dɪˈzɜ:v, dɪˈzɜ:rv] vt. 值得;应得 vi. 应受报答;应得报酬 
design	[dɪˈzaɪn] vt.&vi. 设计 vt. 设计 n. 设计 vi. 设计略图 
desirable	[dɪˈzaɪrəbəl, dɪˈzaɪərəbl] adj. 可取的;令人满意的 n. 称心如意的人[东西] 
desire	[dɪˈzaɪə(r),  dɪˈzaɪr] vt. 渴望 n. 欲望 vi. 愿望 
desk	[dɛsk, desk] n. 书桌，办公桌;服务台 adj. 书桌的，书桌上用的 
despair	[dɪˈspeə(r), dɪˈsper] n. 绝望;使人绝望的人（或事物） vi. 绝望 
desperate	[ˈdespərət, ˈdɛspərɪt] adj. 绝望的 
despise	[dɪˈspaɪz] vt. 鄙视，看不起 
despite	[dɪˈspaɪt] prep. 不管;虽有 n. 侮辱;憎恨 
dessert	[dɪˈzɜ:t, dɪˈzɜ:rt] n. 甜点 
destination	[ˌdestɪˈneɪʃn, ˌdɛstəˈneʃən] n. 目的，目标 
destiny	[ˈdɛstəni, ˈdestəni] n. 命运 
destroy	[dɪˈstrɔɪ] vt. 杀死 
destruction	[dɪˈstrʌkʃən, dɪˈstrʌkʃn] n. 摧毁 
detach	[dɪˈtætʃ] vt. 派遣 
detail	[ˈdi:teɪl, dɪˈteɪl] n. 详述;（照片、绘画等的）细部 vt. 详述，仔细汇报;选派 
detain	[dɪˈten, dɪˈteɪn] vt. 耽搁 
detective	[dɪˈtektɪv, dɪˈtɛktɪv] adj. 侦探的;适于探测的 n. 侦探 
determine	[dɪˈtɜ:mɪn, dɪˈtɜ:rmɪn] vt.&vi. （使）下决心，（使）做出决定 vt. 决定，确定 vi. [主用于法律]了结，终止，结束 
develop	[dɪˈvɛləp, dɪˈveləp] vi. 发展;形成 vt. 发展;开发 
development	[dɪˈveləpmənt, dɪˈvɛləpmənt] n. 发展，进化 
device	[dɪˈvaɪs] n. 装置，设备 
devise	[dɪˈvaɪz] v. 设计;想出 n. 遗赠;遗赠的财产 
devote	[dɪˈvəʊt, dɪˈvoʊt] vt. 奉献 
dew	[dju:, du:] n. 水珠，露水 vt. 弄湿 
diagram	[ˈdaɪəgræm, ˈdaɪəˌɡræm] n. 图表;示意图 vt. 图解;用图表示 
dial	[ˈdaɪəl] n. 表盘 vt.&vi. 打电话，拨电话号码 vt. 用标度盘测量 
dialogue	['daɪəlɒɡ, ˈdaɪəˌlɔɡ, -ˌlɑɡ] n. 对话 vt. 用对话表达 vi. 对话 
diameter	[daɪˈæmɪtɚ, daɪˈæmɪtə(r)] n. 直径，直径长 
diamond	[ˈdaɪəmənd, ˈdaɪmənd, ˈdaɪəmənd] n. 菱形 vt. 镶钻石于 adj. 金刚石的 
diary	[ˈdaɪəri] n. 日记，日志 
dictate	[dɪkˈteɪt, ˈdɪkteɪt] vt. 口述;命令，指示 vi. 口述;命令 
dictation	[dɪkˈteɪʃn, dɪkˈteʃən] n. 命令 
dictator	[dɪkˈteɪtə(r), ˈdɪkteɪtər] n. 独裁者 
dictionary	[ˈdɪkʃənri, ˈdɪkʃəneri] n. 词典，字典 
die	[daɪ] vt.&vi. 死亡，熄灭;凋零，枯萎 n. 钢型，硬模;骰子 
diet	[ˈdaɪət, ˈdaɪɪt] n. 日常饮食 vt.&vi. （使）节制饮食 vi. 节食 
differ	[ˈdɪfə(r), ˈdɪfɚ] vi. 不同，相异 
difference	[ˈdɪfrəns, ˈdɪfərəns, ˈdɪfrəns] n. 差别，差异;[数]差数，差额 vt. 辨别，区分 
different	[ˈdɪfrənt] adj. 不同的 
difficult	[ˈdɪfɪˌkʌlt, -kəlt, ˈdɪfɪkəlt] adj. 困难的 
difficulty	[ˈdɪfɪkəlti, ˈdɪfɪˌkʌlti, -kəl-] n. 难度 
dig	[dɪg, dɪɡ] vt. （如用铲、锨或推土机等）挖掘 vi. 挖掘，松土 n. 一拳，一推 
digest	[daɪˈdʒest] vt.&vi. 消化 vt. 吸收 vi. 消化 n. 文摘 
digital	[ˈdɪdʒɪtl] adj. 数字的;数据的 n. 数字;手指 
dignity	[ˈdɪgnəti] n. 尊严 
diligent	[ˈdɪlɪdʒənt, ˈdɪlədʒənt] adj. 勤奋的 
dim	[dɪm] adj. 暗淡的，昏暗的 vt.&vi. （使）变暗淡 n. 笨蛋，傻子 
dine	[daɪn] vi. 吃饭，进餐 vt. 设宴款待，请客 
dining-room	[ ˈdaɪnɪŋˌrum, 'daɪnɪŋ rʊm] n. 餐厅 
dinner	[ˈdɪnə(r), ˈdɪnɚ] n. 晚餐 
dip	[dɪp] vt. 浸 vt.&vi. （使）微降，（使）下沉 n. 倾斜 vi. 浸水 
diploma	[dɪˈpləʊmə, dɪˈploʊmə] n. 毕业文凭;学位证书 v. 发毕业文凭 
diplomatic	[ˌdɪpləˈmætɪk] adj. 外交上的 
direct	[dəˈrekt, dɪˈrɛkt, daɪ-] adj. 直接的 adv. 直接地 vt. （用建议、指示、有益的情报等）指导 vt.&vi. 指导，导演，管理 vi. 引路 
direction	[dɪˈrɛkʃən, daɪ-, dəˈrekʃn] n. 方向 
directly	[dəˈrektli, dɪˈrɛktli, daɪ-] adv. 直接地;不久，立即 conj. 一…就… 
director	[dɪˈrɛktɚ, daɪ-, dəˈrektə(r)] n. 导演 
dirty	[ˈdɜ:ti, ˈdɜ:rti] adj. 肮脏的 vt. 弄脏，污染 vi. 变脏，污染 
disadvantage	[ˌdɪsədˈvɑ:ntɪdʒ, ˌdɪsədˈvæntɪdʒ] n. 不利，劣势，短处 
disagree	[ˌdɪsəˈgri:, ˌdɪsəˈɡri] vi. 不同意 
disappear	[ˌdɪsəˈpɪə(r), ˌdɪsəˈpɪr] vi. 不见，消失 
disappoint	[ˌdɪsəˈpɔɪnt] vt. 使失望;使破灭，使落空 vi. 使失望 
disaster	[dɪˈzæstə(r), dɪˈzɑ:stə(r)] n. 灾难 
disc	[dɪsk] n. 圆盘 
discard	[dɪsˈkɑ:rd, dɪsˈkɑ:d] vt. 丢弃，抛弃 n. 被抛弃的人[物] vi. 出无用的牌 
discharge	[dɪsˈtʃɑ:dʒ, dɪsˈtʃɑ:rdʒ] vt. 下（客） vt.&vi. 放出 n. （气体、液体如水从管子里）流出 vi. （船、飞机等）卸货 
discipline	[ˈdɪsəplɪn] vt. 训练;使有纪律 n. 纪律;学科 
discount	[ˈdɪskaʊnt, ˈdɪsˌkaʊnt] vt. 打折扣，减价出售 vi. 折扣 n. 贴现 
discover	[dɪˈskʌvə(r), dɪˈskʌvɚ] vt. 发现 
discovery	[dɪˈskʌvəri] n. 发现，发觉 
discuss	[dɪˈskʌs] vt. 商量 
discussion	[dɪˈskʌʃn, dɪˈskʌʃən] n. 讨论，谈论 
disease	[dɪˈzi:z, dɪˈziz] n. 疾病;弊端 vt. 传染;使…有病 
disguise	[dɪsˈgaɪz, dɪsˈɡaɪz] vt. 掩盖;化装 n. 伪装;伪装品 
disgust	[dɪsˈgʌst, dɪsˈɡʌst] n. 反感，厌恶，嫌恶 vt. 使反感，厌恶 
dish	[dɪʃ] n. 盘 vt. 盛于碟盘中 vi. 成碟状 
dislike	[dɪsˈlaɪk] vt. 厌恶;不喜欢 n. 讨厌;厌憎 
dismay	[dɪsˈmeɪ, dɪsˈme] vt. 使惊愕，使焦虑，使气馁 n. 惊愕，气馁 
dismiss	[dɪsˈmɪs] vt. 解雇，把…免职;遣散，解散（队伍等） vi. 解散 
disorder	[dɪsˈɔ:də(r), dɪsˈɔ:rdə(r)] n. 混乱，凌乱;动乱，骚乱 vt. 使混乱，使凌乱;扰乱 
dispatch	[dɪˈspætʃ] vt. 派遣，调度;（迅速地）发出 n. （使者等的）派遣;急件 
displace	[dɪsˈpleɪs, dɪsˈples] vt. 移动，移走 
display	[dɪˈsple, dɪˈspleɪ] n. 显示器 vt. 显示 vi. （计算机屏幕上）显示 
displease	[dɪsˈpli:z, dɪsˈpliz] vt. 使生气，使不愉快;冒犯，触怒 vi. 使生气;使不快 
dispose	[dɪˈspoʊz, dɪˈspəʊz] vt.&vi. 处理，处置;安排 vt. 布置;排列 
dispute	[dɪˈspju:t, dɪˈspjut] vt.&vi. 辩论，争论 vt. 就…进行争论，辩论 n. 争端 vi. 争执 
distance	[ˈdɪstəns] n. 远处;距离，路程 vt. 把…远远甩在后面;疏远 
distant	[ˈdɪstənt] adj. 遥远的 
distinct	[dɪˈstɪŋkt] adj. 明显的，清楚的 
distinction	[dɪˈstɪŋkʃən, dɪˈstɪŋkʃn] n. 区别 
distinguish	[dɪˈstɪŋgwɪʃ, dɪˈstɪŋɡwɪʃ] vi. 区分，辨别，分清;辨别是非 vt. 区分，辨别，分清;辨别出，识别 
distress	[dɪˈstrɛs, dɪˈstres] n. 悲痛;危难，不幸 vt. 使痛苦，使忧伤;[法]扣押（财物） 
distribute	[dɪˈstrɪbju:t, dɪˈstrɪbjut] vt. 分配，散布 
district	[ˈdɪstrɪkt] n. 地区;教区 vt. 把…分区 
disturb	[dɪˈstɜ:b, dɪˈstɜ:rb] vt. 打扰，妨碍 
ditch	[dɪtʃ] n. 沟渠 vt. 摆脱，抛弃 vi. 使（飞机）在海上紧急降落，（在海上）迫降 
dive	[daɪv] vi. 潜水 n. 潜水 vt.&vi. 突然下降，暴跌 
diverse	[daɪˈvɜ:s, daɪˈvɜ:rs] adj. 不同的，多种多样的 
divide	[dɪˈvaɪd] vt.&vi. 分;划分 n. 分配;分水岭，分界线 
division	[dɪˈvɪʒn, dɪˈvɪʒən] n. 部门 
divorce	[dɪ'vɔ:s, dɪˈvɔ:rs] n. 离婚 vt. 与…离婚 vt.&vi. 与（某人）离婚，判（某人）离婚 
do	[du] aux. 构成疑问句和否定句 vt. 做 vi. 表现 n. 社交聚会 
dock	[dɒk, dɑ:k] n. 码头 vt.&vi. （使）船停靠码头 vi. 入船坞 
doctor	[ˈdɒktə(r), ˈdɑ:ktə(r)] n. 博士 vt.&vi. 医疗，行医 vt. 修理，装配 
doctrine	[ˈdɑ:ktrɪn, ˈdɒktrɪn] n. 教条，教义 
document	[ˈdɒkjumənt, ˈdɑ:kjumənt] n. 公文;（计算机）文档，证件 vt. 记录;证明 
dog	[dɒg, dɔ:g] n. 狗;蹩脚货 v. 困扰;跟踪 
doll	[dɑ:l, dɒl] n. 玩偶;（口技演员使用的）木偶 vt. 把…打扮漂亮 
dollar	[ˈdɒlə(r), ˈdɑ:lə(r)] n. 美元 
domain	[doʊˈmeɪn, dəˈmeɪn] n. 范围，领域 
dome	[doʊm, dəʊm] n. 圆屋顶 vt. 加圆屋顶于…上 vi. 成圆顶状 
domestic	[dəˈmestɪk, dəˈmɛstɪk] adj. 国内的;家庭的，家的 n. 佣人;国货 
donate	[dəʊˈneɪt, ˈdoʊneɪt] vt.&vi. （尤指向慈善机构）捐赠;献（血） n. 捐赠;捐献 
donkey	[ˈdɒŋki, ˈdɑ:ŋki] n. 驴，毛驴 
door	[dɔr,dor, dɔ:(r)] n. 门，户 
dorm	[dɔ:rm, dɔ:m] n. 宿舍 
dose	[dəʊs, doʊs] n. 剂量，药量 vi. 服药 vt. 给药 
dot	[dɑ:t, dɒt] n. 点，小圆点 vt. 点缀;打点于 
double	[ˈdʌbəl, ˈdʌbl] adj. 双的 vt. 使加倍 vi. 加倍，加倍努力 adv. 两倍地 n. 两倍 
doubt	[daʊt] n. 怀疑，疑虑 vt. 怀疑，疑惑 vi. 不确定，不能肯定或怀疑 
doubtful	[ˈdaʊtfl, ˈdaʊtfəl] adj. 难以预测的 
dove	[dʌv] n. 鸽;纯洁的人，天真无邪的人 v. 潜水( dive的过去式) 
down	[daʊn] adv. 向下 prep. （从高处）向下 adj. 向下的 n. （鸟的）绒羽 vt. 放下 vi. 下来 
downstairs	[ˌdaʊnˈsterz, ˌdaʊnˈsteəz] adv. 在楼下;向[往]楼下 adj. 楼下的 
downtown	[ˌdaʊnˈtaʊn, ˈdaʊnˌtaʊn] n. 市中心区 adj. 商业区的，闹市区的 adv. 在商业（闹市）区 
downward	[ˈdaʊnwəd, ˈdaʊnwərd] adj. 向下的，往下的 adv. 向下地，下行地 
doze	[doʊz, dəʊz] vi. 假寐 vt. 打瞌睡度过 n. 瞌睡 
dozen	[ˈdʌzn, ˈdʌzən] n. （一）打，十二个 adj. 一打的 
draft	[drɑ:ft, dræft] n. 汇票 vt. 起草 vi. 拟稿 adj. 初步画出或（写出）的 
dragon	[ˈdrægən, ˈdræɡən] n. 龙，龙船 
drain	[dren, dreɪn] vi. 排水 vt. 喝光，喝干 n. 排水 
drama	[ˈdrɑ:mə, ˈdrɑmə, ˈdræmə] n. 戏剧，剧本 
dramatic	[drəˈmætɪk] adj. 引人注目的 
draw	[drɔ:, drɔ] vt.&vi. 吸引 vt. 画 vi. 汲取 n. 抽奖 
drawer	[ˈdrɔɚ, drɔ:(r)] n. 抽屉 
drawing	[ˈdrɔ:ɪŋ, ˈdrɔɪŋ] n. 绘画;制图 v. 拉;绘画(draw的现在分词) 
dread	[drɛd, dred] vt. 害怕，担心 n. 恐惧，畏惧 adj. 可怕的 vi. 十分害怕 
dreadful	[ˈdredfl, ˈdrɛdfəl] adj. 可怕的;糟糕的 n. <英>惊险小说[杂志] 
dream	[dri:m, drim] vi. 梦想 vt.&vi. 做梦，向往 vt. 梦想 n. 梦想 adj. 梦的 
dress	[drɛs, dres] n. 衣服 vt.&vi. 打扮 adj. 连衣裙的 vt. 给…穿衣 vi. 穿衣 
drift	[drɪft] vi. 漂泊 vt. 漂流 n. 漂移，偏移 
drill	[drɪl] n. 钻头 vt.&vi. 训练 vt. 作…演习，操练 
drink	[drɪŋk] vt.&vi. 喝酒 vt. 吸收，吸入 n. 酒，饮料 
drip	[drɪp] vt.&vi. （使）滴下 vi. 滴出 n. 水滴 
drive	[draɪv] v. 驱动;开车 n. 驱动器;驱车旅行 
driver	[ˈdraɪvə(r), ˈdraɪvɚ] n. 驾驶员，司机 
drop	[drɑ:p, drɒp] vt.&vi. （使）落下 vt. 放弃 n. 滴 vi. （水或其他液体）滴 
drown	[draʊn] vt. 淹死;浸没 vi. 淹死 
drug	[drʌɡ, drʌg] n. 药物 vt. （在食物或饮料中）投放麻醉药，下麻醉药 vi. 使服麻醉药，用药麻醉，使服兴奋剂 
drum	[drʌm] n. 鼓 vt. 击鼓 vi. 击鼓 
drunk	[drʌŋk] adj. 醉的 n. 醉汉，酒鬼，酗酒者 v. 喝（酒）( drink的过去分词) 
dry	[draɪ] adj. 干的干燥的，干旱的 vt. 从…去掉水分，使…变干 vi. 变干 n. 干涸 
duck	[dʌk] n. 鸭肉;鸭子，野鸭 vt.&vi. 躲避，回避;潜入 
due	[dju:, du:] adj. 由于 n. 应有的权利 adv. 正向 
dull	[dʌl] adj. 迟钝的;钝的 v. 缓和;减轻 
dumb	[dʌm] adj. 哑的，无说话能力的 
during	[ˈdʊrɪŋ, ˈdjʊərɪŋ] prep. 在…的时候 
dusk	[dʌsk] n. 黄昏，傍晚 adj. 微暗的 v. 变暗 
dust	[dʌst] n. 灰尘 vt.&vi. 拂（一拂），掸（一掸） vt. 撒（粉）于 
dusty	[ˈdʌsti] adj. 布满灰尘的 
duty	[ˈdju:ti, ˈdu:ti] n. 义务 
dwell	[dwel, dwɛl] vi. 居住 
dye	[daɪ] n. 染料，染色 vt. 染色 vi. 染上或粘上（颜色） 
dying	[ˈdaɪɪŋ] adj. <口>渴望，切盼;垂死的，临终的 v. “die”的现在分词 
dynasty	[ˈdɪnəsti, ˈdaɪnəsti] n. 王朝 
e.g.	[, ˌi: ˈdʒi:] abbr. <外>(=exempli gratia)例如 adv. 举例来说（等于for example） 
each	[i:tʃ, itʃ] adj. 每;各自的 pron. 每个;各自 
eager	[ˈi:gə(r), ˈiɡɚ] adj. 急切 
eagle	[ˈi:gl, ˈiɡəl] n. 鹰;鹰状标志 v. [高]低于标准杆数两杆 
ear	[ɪr, ɪə(r)] n. 耳朵;穗 vi. 抽穗;（美俚）听见 
early	[ˈɜ:li, ˈɜ:rli] adj. 早期的;早的 adv. 早;提早 
earn	[ɜ:n, ɜ:rn] vt.&vi. 赢得;获得 vt. 获得;挣得 
earnest	[ˈɜ:rnɪst, ˈɜ:nɪst] adj. 热心的;诚挚的，真挚的 n. 认真;诚挚 
earth	[ɜ:θ, ɜ:rθ] n. 地球 vt. 把（电线）接地 vi. 躲进地洞 
earthquake	[ˈɜ:θkweɪk, ˈɜ:rθkweɪk] n. 地震 
ease	[i:z, iz] n. 安逸 vt. 减轻 vi. 缓解，减少 
easily	[ˈi:zəli, ˈizəli] adv. 容易地 
east	[i:st] n. 东，东方 adj. 东方的，向东方的 adv. 向东方（地） 
Easter	[ˈistɚ, ˈi:stə(r)] n. <宗>复活节 
eastern	[ˈi:stərn, ˈi:stən] adj. 东方的，东部（地方）的;朝东的 n. 东方人;（美国）东部地区的人 
eastward	[ˈistwəd, 'i:stwəd] adj. 朝东的 adv. 向东 n. 东方，东部 
easy	[ˈizi, ˈi:zi] adj. 容易的 adv. 容易地 vi. 停止划桨（常用作命令） vt. 向（水手或划手）发出停划命令 
eat	[i:t] vt.&vi. 吃，喝 vi. （食物）吃起来感到 vt. （如酸）腐蚀 
echo	[ˈekoʊ, ˈekəʊ] n. 回声，共鸣 vt. 重复，效仿 vi. 被重复 
economic	[ˌi:kəˈnɒmɪk, ˌi:kəˈnɑ:mɪk] adj. 经济的 
economical	[ˌi:kəˈnɒmɪkl, ˌi:kəˈnɑ:mɪkl] adj. 经济的 
economics	[ˌi:kəˈnɒmɪks, ˌi:kəˈnɑ:mɪks] n. 经济学 
economy	[ɪˈkɑ:nəmi, ɪˈkɒnəmi] n. 经济 
edge	[ɛdʒ, edʒ] n. 边 vt. 在…上加边界 vi. 慢慢向前移动，侧身移动 
edit	[ˈedɪt, ˈɛdɪt] vt. 编辑;剪辑（影片，录音） n. 编辑 
edition	[ɪˈdɪʃn, ɪˈdɪʃən] n. 版次，版本 
editor	[ˈedɪtə(r), ˈɛdɪtɚ] n. 编辑，编者 
editorial	[ˌɛdɪˈtɔriəl, -ˈtor-, ˌedɪˈtɔ:riəl] adj. 编辑的，主笔的;〈美〉社论的 n. 社论（美） 
educate	[ˈedʒukeɪt, ˈɛdʒəˌket] vt.&vi. 教育，教导;训练，培养 vt. 使理解或接受 
education	[ˌedʒuˈkeɪʃn, ˌɛdʒəˈkeʃən] n. 教育 
effect	[ɪˈfekt, ɪˈfɛkt] n. 效果;影响 vt. 使发生;引起 
effective	[ɪˈfektɪv, ɪˈfɛktɪv] adj. 有效的;起作用的 n. [军]现役兵额，有生力量，精兵 
effort	[ˈefət, ˈefərt] n. 工作 
egg	[eg, ɛɡ] n. 卵;鸡蛋，蛋 vt. 煽动，怂恿;用蛋烹调 
eight	[eɪt, et] num. 八 n. 八 adj. 八个的 
eighteen	[ˌeɪˈti:n, eˈtin] num. 十八;十八个 n. 十八岁;十八的记号 
eighth	[eɪtθ, etθ, eθ] num. 八分之一 adv. 第八 n. 八分之一 
eighty	[ˈeɪti, ˈeti] num. 八十 n. 八十 adj. 八十的 
either	[ˈiðɚ, ˈaɪðɚ, ˈaɪðə(r)] pron. （两者之中）任何一个 adj. （两者中）任一的 adv. （否定句中）也 conj. [通常用于“either…or…”结构中]或者，要么[在“either…or…”结构中，动词的人称和数一般与离得最近的主动响应，但有时用第三人称单数，在口语中也有把两个主语合在一起用作复数的] 
elbow	[ˈelbəʊ, ˈelboʊ] n. 肘部 vt. 用肘推挤（另一人或另一些人） vi. 用肘推搡着前进 
elder	[ˈɛldɚ, ˈeldə(r)] n. 长者;长辈 adj. 年纪较大的;资格老的 
eldest	[ˈeldɪst, ˈɛldɪst] adj. 最年长的，最老的;年事最高的(old的最高级) n. 最年长者 
elect	[ɪˈlɛkt, ɪˈlekt] vt. 选举 vi. 选择，挑选 adj. 精选的，选出的 n. 被选的人 
election	[ɪˈlekʃn, ɪˈlɛkʃən] n. 选举，当选 
electric	[ɪˈlektrɪk, ɪˈlɛktrɪk] adj. 电动的;电的，带电的 n. 电动车辆;带电体 
electricity	[ɪlɛkˈtrɪsɪti,ˌilɛk-, ɪˌlekˈtrɪsəti] n. 电力 
elegant	[ˈelɪgənt, ˈɛlɪɡənt] adj. （人或其举止）优美的 
element	[ˈelɪmənt, ˈɛləmənt] n. 要素 
elementary	[ˌelɪˈmentri, ˌɛləˈmɛntəri, -tri] adj. 初等 
elephant	[ˈelɪfənt, ˈɛləfənt] n. 象，大象 
elevator	[ˈɛləˌvetɚ, ˈelɪveɪtə(r)] n. 电梯 
eleven	[ɪˈlevn, ɪˈlɛvən] num. 十一 n. 十一 adj. 十一的 
eleventh	[ɪˈlɛvənθ, ɪ'levnθ] num. 第十一;十一分之一的 n. 第十一;（每月的）第十一日 
else	[els, ɛls] adv. 其他;否则 adj. 别的;其他的 
elsewhere	[ˌelsˈwer, ˌelsˈweə(r)] adv. 在别处，到别处 
embarrass	[ɪmˈbærəs, ɛmˈbærəs] vt.&vi. （使）窘迫，（使）局促不安 
embassy	[ˈembəsi, ˈɛmbəsi] n. 大使馆 
embrace	[ɛmˈbres, ɪmˈbreɪs] vt.&vi. 拥抱 vt. 接受 n. 拥抱，怀抱 
emerge	[iˈmɜ:dʒ, iˈmɜ:rdʒ] vi. 出现，浮现 
emergency	[iˈmɜ:rdʒənsi, iˈmɜ:dʒənsi] n. 紧急情况;突发事件 adj. 紧急的，应急的 
emigrate	[ˈemɪgreɪt, ˈɛmɪˌɡret] vt. 移居国外 
emotion	[ɪˈmoʊʃn, ɪˈməʊʃn] n. 情绪 
emperor	[ˈɛmpəɚ, ˈempərə(r)] n. 皇帝，君主 
emphasis	[ˈɛmfəsɪs, ˈemfəsɪs] n. 强调 
emphasize	[ˈemfəsaɪz, ˈɛmfəˌsaɪz] vt. 强调，着重 
empire	[ˈempaɪə(r), ˈɛmˌpaɪr] n. 帝国，帝国领土;帝权，君权，最高统治权 adj. 新古典风格的 
employ	[ɪmˈplɔɪ, ɛmˈplɔɪ] vt. 雇用;使用，利用 n. 受雇;服务 
employee	[ɪmˈplɔɪi:] n. 雇工，雇员，职工 
employer	[ɪmˈplɔɪə(r), ɪmˈplɔɪər] n. 雇主，老板 
employment	[ɪmˈplɔɪmənt, ɛmˈplɔɪmənt] n. 雇用 
empty	[ˈɛmpti, ˈempti] adj. 空的，空虚的，空洞的 vt. （使）成为空的， 把…弄空 vi. 成为空的 n. 空车 
enable	[ɛˈnebəl, ɪˈneɪbl] vt. 使能够，提供做…的权利[措施] 
encounter	[ɪnˈkaʊntə(r), ɛnˈkaʊntɚ] vt. 遭遇 n. 相遇，碰见 vi. 碰见，尤指不期而遇 
encourage	[ɪnˈkɜ:rɪdʒ, ɪnˈkʌrɪdʒ] vt. 促进 
end	[ɛnd, end] n. 端;<正>结果 vt.&vi. 结束，终止 
endeavour	[ɪn'devə(r), ɛnˈdɛvɚ] n. 尽力，竭力 vi.&vt. 努力，竭力 
ending	[ˈendɪŋ, ˈɛndɪŋ] n. 结束;结局 v. 结束，终止(end的现在分词) 
endure	[ɪnˈdʊr, ɪnˈdjʊə(r)] vt. 忍耐;容忍 vi. 忍耐;持续，持久 
enemy	[ˈenəmi, ˈɛnəmi] n. 敌军;仇敌 adj. 敌人的;敌方的 
energetic	[ˌenəˈdʒetɪk, ˌenərˈdʒetɪk] adj. 精力充沛的，充满活力的 
energy	[ˈenədʒi, ˈenərdʒi] n. 精力 
enforce	[ɪnˈfɔ:rs, ɪnˈfɔ:s] vt. 加强 
engage	[ɪn'gedʒ, ɪnˈgeɪdʒ] vt. 聘用;吸引住 vi. 从事;与…建立密切关系 
engine	[ˈendʒɪn, ˈɛndʒɪn] n. 发动机，引擎;工具 vt. 给…安装发动机 
engineer	[ˌendʒɪˈnɪə(r), ˌendʒɪˈnɪr] n. 工程师，技师;（轮船的）机师 vt. 设计，策划;安排或处理 
engineering	[ˌendʒɪˈnɪrɪŋ, ˌendʒɪˈnɪərɪŋ] n. 工程（学）， 工程师行业 
England	['ɪŋɡlənd, ˈɪŋɡlənd] n. 英格兰 
English	[ˈɪŋglɪʃ, ˈɪŋɡlɪʃ] n. 英语 adj. 英语的;英国的 
Englishman	[ˈɪŋglɪʃmən, ˈɪŋɡlɪʃmən] n. 英吉利人 
enjoy	[ɪnˈdʒɔɪ, ɛnˈdʒɔɪ] vt. 喜欢;欣赏 vi. 使过得快活 
enjoyment	[ɪnˈdʒɔɪmənt, ɛnˈdʒɔɪmənt] n. 享受 
